source,destination,href,anchor,location,context,status,canonical
/,/work/,/work/,Work,navigation,a mobile-nav-link block font-body text-3xl font-normal tracking-wide transition-all duration-300 translate-y-8 opacity-0 text-text-secondary hover:text-text-primary | li  | ul flex flex-col gap-6 | nav  | div flex flex-1 flex-col justify-center px-6 py-24 | div fixed inset-0 z-40 flex flex-col bg-bg-primary opacity-0 pointer-events-none transition-opacity duration-300 lg:hidden | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/
/,/insights/,/insights/,Insights,navigation,a mobile-nav-link block font-body text-3xl font-normal tracking-wide transition-all duration-300 translate-y-8 opacity-0 text-text-secondary hover:text-text-primary | li  | ul flex flex-col gap-6 | nav  | div flex flex-1 flex-col justify-center px-6 py-24 | div fixed inset-0 z-40 flex flex-col bg-bg-primary opacity-0 pointer-events-none transition-opacity duration-300 lg:hidden | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/insights/
/,/about/,/about/,About,navigation,a mobile-nav-link block font-body text-3xl font-normal tracking-wide transition-all duration-300 translate-y-8 opacity-0 text-text-secondary hover:text-text-primary | li  | ul flex flex-col gap-6 | nav  | div flex flex-1 flex-col justify-center px-6 py-24 | div fixed inset-0 z-40 flex flex-col bg-bg-primary opacity-0 pointer-events-none transition-opacity duration-300 lg:hidden | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/about/
/,/careers/,/careers/,Careers,navigation,a mobile-nav-link block font-body text-3xl font-normal tracking-wide transition-all duration-300 translate-y-8 opacity-0 text-text-secondary hover:text-text-primary | li  | ul flex flex-col gap-6 | nav  | div flex flex-1 flex-col justify-center px-6 py-24 | div fixed inset-0 z-40 flex flex-col bg-bg-primary opacity-0 pointer-events-none transition-opacity duration-300 lg:hidden | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/careers/
/,/contact/,/contact/,Contact,navigation,a mobile-nav-link mt-4 inline-block border border-accent px-8 py-3 font-body text-xl font-normal tracking-wide text-accent transition-all duration-300 translate-y-8 opacity-0 hover:bg-accent hover:text-bg-primary | li  | ul flex flex-col gap-6 | nav  | div flex flex-1 flex-col justify-center px-6 py-24 | div fixed inset-0 z-40 flex flex-col bg-bg-primary opacity-0 pointer-events-none transition-opacity duration-300 lg:hidden | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/contact/
/,/contact/,/contact/,Discuss Your Operations Challenge,content,a btn btn--primary | div page-hero__actions | div page-hero__content | div page-hero__container | section page-hero page-hero--has-image | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/contact/
/,/work/,/work/,View Our Work,content,a btn btn--text | div page-hero__actions | div page-hero__content | div page-hero__container | section page-hero page-hero--has-image | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/
/,/work/cloud-cost-optimization-industrial-sme/,/work/cloud-cost-optimization-industrial-sme/,European Industrial Machinery Manufacturer How We Reduced Cloud Infrastructure Cost from $17K/month to $2.8K/month,card,a work-card | div featured-work__grid | div featured-work__container site-container | section featured-work | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/cloud-cost-optimization-industrial-sme/
/,/work/virtual-tours-ai-listings/,/work/virtual-tours-ai-listings/,LuxeHomes Realty Network 3D Virtual Tours & AI Property Listing Platform,card,a work-card | div featured-work__grid | div featured-work__container site-container | section featured-work | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/virtual-tours-ai-listings/
/,/work/collaboration-platform-distributed-teams/,/work/collaboration-platform-distributed-teams/,WorkFlow (SaaS Startup) Real-Time Collaboration Platform for Distributed Teams,card,a work-card | div featured-work__grid | div featured-work__container site-container | section featured-work | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/collaboration-platform-distributed-teams/
/,/work/omnichannel-ecommerce-platform/,/work/omnichannel-ecommerce-platform/,TrendStyle Fashion Retailer Omnichannel E-Commerce Platform with AI-Powered Personalization,card,a work-card | div featured-work__grid | div featured-work__container site-container | section featured-work | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/omnichannel-ecommerce-platform/
/,/services/,/services/,View All Services,content,a btn btn--text | div rsg__header | div rsg__container site-container | section rsg rsg--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/
/,/services/custom-software-development/,/services/custom-software-development/,Custom Software Development Custom Business Software That Replaces Manual Work Explore,card,a rsg-card | div rsg__grid | div rsg__container site-container | section rsg rsg--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/custom-software-development/
/,/services/business-automation/,/services/business-automation/,Business Automation Automate Repetitive Work Across Your Business Explore,card,a rsg-card | div rsg__grid | div rsg__container site-container | section rsg rsg--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/business-automation/
/,/services/erp-software/,/services/erp-software/,ERP & Odoo Solutions Odoo ERP Systems for Growing Operations Explore,card,a rsg-card | div rsg__grid | div rsg__container site-container | section rsg rsg--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/erp-software/
/,/services/ai-automation-agents/,/services/ai-automation-agents/,AI Automation & Agents AI Agents That Handle Repetitive Operations Work Explore,card,a rsg-card | div rsg__grid | div rsg__container site-container | section rsg rsg--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/ai-automation-agents/
/,/services/cloud-devops/,/services/cloud-devops/,Cloud & DevOps Reliable Cloud Infrastructure for Scalable Operations Explore,card,a rsg-card | div rsg__grid | div rsg__container site-container | section rsg rsg--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/cloud-devops/
/,/industries/,/industries/,View all industries,content,a industries-bento__view-all | header industries-bento__header | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/
/,/industries/healthcare/,/industries/healthcare/,Healthcare Digital solutions for better patient outcomes,card,a industry-card bento-featured | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/healthcare/
/,/industries/retail-ecommerce/,/industries/retail-ecommerce/,Retail & E-commerce Commerce experiences that convert,card,a industry-card bento | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/retail-ecommerce/
/,/industries/manufacturing/,/industries/manufacturing/,Manufacturing Operational efficiency through smarter systems,card,a industry-card bento | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/manufacturing/
/,/industries/logistics/,/industries/logistics/,Logistics & Supply Chain Visibility across every mile and milestone,card,a industry-card bento | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/logistics/
/,/industries/finance/,/industries/finance/,Finance Secure platforms for modern financial services,card,a industry-card bento | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/finance/
/,/industries/startups/,/industries/startups/,"Startups & SMEs From idea to launch, faster",card,a industry-card bento | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/startups/
/,/industries/real-estate/,/industries/real-estate/,Real Estate Property platforms that close deals faster,card,a industry-card bento | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/real-estate/
/,/industries/education/,/industries/education/,Education Learning experiences that actually engage,card,a industry-card bento | div industries-bento__grid | div industries-bento__container site-container | section industries-bento industries-bento--has-bg | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/education/
/,/contact/,/contact/,Discuss Your Operations Challenge,card,a btn btn--primary | div cta-section__card | div cta-section__container site-container | section cta-section | main flex flex-col gap-10 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/contact/
/,/,/,KP Infotech - Home,footer,a inline-block mb-6 | div footer-brand | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/
/,/services/custom-software-development/,/services/custom-software-development/,C u s t o m S o f t w a r e D e v e l o p m e n t,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/custom-software-development/
/,/services/business-automation/,/services/business-automation/,B u s i n e s s A u t o m a t i o n,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/business-automation/
/,/services/erp-software/,/services/erp-software/,E R P & O d o o S o l u t i o n s,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/erp-software/
/,/services/ai-automation-agents/,/services/ai-automation-agents/,A I A u t o m a t i o n & A g e n t s,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/ai-automation-agents/
/,/services/cloud-devops/,/services/cloud-devops/,C l o u d & D e v O p s,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/cloud-devops/
/,/about/,/about/,A b o u t,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/about/
/,/work/,/work/,W o r k,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/
/,/careers/,/careers/,C a r e e r s,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/careers/
/,/insights/,/insights/,I n s i g h t s,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/insights/
/,/contact/,/contact/,C o n t a c t,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/contact/
/,/industries/healthcare/,/industries/healthcare/,H e a l t h c a r e,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/healthcare/
/,/industries/retail-ecommerce/,/industries/retail-ecommerce/,R e t a i l & E - c o m m e r c e,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/retail-ecommerce/
/,/industries/manufacturing/,/industries/manufacturing/,M a n u f a c t u r i n g,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/manufacturing/
/,/industries/logistics/,/industries/logistics/,L o g i s t i c s & S u p p l y C h a i n,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/logistics/
/,/industries/finance/,/industries/finance/,F i n a n c e,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/finance/
/,/industries/startups/,/industries/startups/,S t a r t u p s & S M E s,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/startups/
/,/industries/real-estate/,/industries/real-estate/,R e a l E s t a t e,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/real-estate/
/,/industries/education/,/industries/education/,E d u c a t i o n,footer,a footer-nav-link text-[var(--text-secondary)] text-sm | li  | ul space-y-3 | nav  | div footer-double-col | div footer-grid | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/education/
/,/privacy-policy/,/privacy-policy/,Privacy Policy,footer,a text-[var(--text-secondary)] hover:text-[var(--accent)] text-xs transition-colors duration-300 | nav flex items-center gap-6 | div flex flex-col md:flex-row md:items-center md:justify-between gap-4 | div mt-16 pt-8 border-t border-[var(--border)] | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/privacy-policy/
/,/terms-of-service/,/terms-of-service/,Terms of Service,footer,a text-[var(--text-secondary)] hover:text-[var(--accent)] text-xs transition-colors duration-300 | nav flex items-center gap-6 | div flex flex-col md:flex-row md:items-center md:justify-between gap-4 | div mt-16 pt-8 border-t border-[var(--border)] | div max-w-[1440px] mx-auto px-6 lg:px-12 py-16 lg:py-20 | footer bg-[var(--bg-secondary)] border-t border-[var(--border)] | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/terms-of-service/
/about/,/,/,KP Infotech - Home,navigation,a logo relative z-10 transition-opacity duration-300 hover:opacity-80 | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/
/about/,/services/,/services/,S e r v i c e s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/services/
/about/,/industries/,/industries/,I n d u s t r i e s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/industries/
/about/,/work/,/work/,W o r k,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/work/
/about/,/insights/,/insights/,I n s i g h t s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/insights/
/about/,/about/,/about/,A b o u t,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/about/
/about/,/careers/,/careers/,C a r e e r s,navigation,a nav-link relative py-2 font-body text-sm font-normal tracking-wide transition-colors duration-300 text-text-secondary hover:text-text-primary | li  | ul flex items-center gap-8 | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/careers/
/about/,/contact/,/contact/,Contact,navigation,a contact-btn relative overflow-hidden border border-accent px-6 py-2.5 font-body text-sm font-normal tracking-wide text-accent transition-all duration-300 hover:text-bg-primary | div hidden items-center gap-10 lg:flex | nav relative mx-auto flex max-w-[1440px] items-center justify-between px-6 py-6 lg:px-12 | header fixed top-0 left-0 right-0 z-50 transition-all duration-300 | body bg-[var(--bg-primary)] text-[var(--text-primary)] antialiased | html  | undefined ,200,https://kpinfo.tech/contact/
