requested_legacy_url,initial_http_status,full_redirect_chain,final_url,final_http_status,final_url_is_200,classification,page_title,worker_redirect_target,redirects_file_target,repo_match,action_bucket,recommended_target,recommendation_notes
https://kpinfo.tech/how-to-create-brand-guidelines/,404,404 https://kpinfo.tech/how-to-create-brand-guidelines/,https://kpinfo.tech/how-to-create-brand-guidelines/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Branding topic is not a current core offer.
https://kpinfo.tech/applications-based-on-cloud-computing/,404,404 https://kpinfo.tech/applications-based-on-cloud-computing/,https://kpinfo.tech/applications-based-on-cloud-computing/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/cloud-devops/,Cloud computing intent maps to Cloud & DevOps.
https://kpinfo.tech/software-development-process-phases/,404,404 https://kpinfo.tech/software-development-process-phases/,https://kpinfo.tech/software-development-process-phases/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/custom-software-development/,Software process intent maps to custom software development.
https://kpinfo.tech/software-development-life-cycle-example/,404,404 https://kpinfo.tech/software-development-life-cycle-example/,https://kpinfo.tech/software-development-life-cycle-example/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/custom-software-development/,SDLC intent maps to custom software development.
https://kpinfo.tech/benefits-of-erp/,404,404 https://kpinfo.tech/benefits-of-erp/,https://kpinfo.tech/benefits-of-erp/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/insights/odoo-erp-complete-guide/,Closest current ERP educational guide exists.
https://kpinfo.tech/erp-solutions-for-small-businesses/,404,404 https://kpinfo.tech/erp-solutions-for-small-businesses/,https://kpinfo.tech/erp-solutions-for-small-businesses/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/insights/odoo-erp-complete-guide/,Closest current ERP educational guide exists.
https://kpinfo.tech/erp-implementation-best-practices/,404,404 https://kpinfo.tech/erp-implementation-best-practices/,https://kpinfo.tech/erp-implementation-best-practices/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/erp-software/,Maps to ERP implementation service unless a best-practices article is recreated.
https://kpinfo.tech/how-to-use-odoo-crm-for-effective-customer-relationships/,404,404 https://kpinfo.tech/how-to-use-odoo-crm-for-effective-customer-relationships/,https://kpinfo.tech/how-to-use-odoo-crm-for-effective-customer-relationships/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/insights/odoo-erp-complete-guide/,Closest current Odoo/ERP guide exists.
https://kpinfo.tech/business-process-automation-examples/,404,404 https://kpinfo.tech/business-process-automation-examples/,https://kpinfo.tech/business-process-automation-examples/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/business-automation/,Automation examples map to the automation service; article recreation can follow if needed.
https://kpinfo.tech/analytics-in-banking-industry/,404,404 https://kpinfo.tech/analytics-in-banking-industry/,https://kpinfo.tech/analytics-in-banking-industry/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Could support finance/software authority; no close current page exists.
https://kpinfo.tech/mobile-app-testing-checklist/,404,404 https://kpinfo.tech/mobile-app-testing-checklist/,https://kpinfo.tech/mobile-app-testing-checklist/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs content recreation,,Technical QA topic has no current equivalent.
https://kpinfo.tech/how-to-create-a-process-map/,404,404 https://kpinfo.tech/how-to-create-a-process-map/,https://kpinfo.tech/how-to-create-a-process-map/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/business-automation/,Process mapping maps to automation/process work.
https://kpinfo.tech/how-to-increase-online-sales/,404,404 https://kpinfo.tech/how-to-increase-online-sales/,https://kpinfo.tech/how-to-increase-online-sales/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Generic sales/marketing topic needs approval under current positioning.
https://kpinfo.tech/optimizing-cloud-computing/,404,404 https://kpinfo.tech/optimizing-cloud-computing/,https://kpinfo.tech/optimizing-cloud-computing/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/cloud-devops/,Cloud optimization intent maps to Cloud & DevOps.
https://kpinfo.tech/b-2-b-lead-generation-strategies/,404,404 https://kpinfo.tech/b-2-b-lead-generation-strategies/,https://kpinfo.tech/b-2-b-lead-generation-strategies/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Lead generation topic is outside current core services.
https://kpinfo.tech/website-development-for-startups/,404,404 https://kpinfo.tech/website-development-for-startups/,https://kpinfo.tech/website-development-for-startups/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/custom-software-development/,Startup web/software development maps to custom software development.
https://kpinfo.tech/privacy-policy-2/,404,404 https://kpinfo.tech/privacy-policy-2/,https://kpinfo.tech/privacy-policy-2/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/privacy-policy/,Clear policy-page replacement.
https://kpinfo.tech/how-to-make-a-website/,404,404 https://kpinfo.tech/how-to-make-a-website/,https://kpinfo.tech/how-to-make-a-website/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs manual approval,,Generic website tutorial needs approval under current positioning.
https://kpinfo.tech/best-practices-for-devops/,404,404 https://kpinfo.tech/best-practices-for-devops/,https://kpinfo.tech/best-practices-for-devops/,404,no,hard 404,Page Not Found — KP Infotech,,,matches repo: no redirect configured,Needs 301 redirect,/services/cloud-devops/,DevOps topic maps to Cloud & DevOps.
