document_id,document_type,slug,page_title,current_seoTitle,current_seoDescription,publish_status,last_updated,notes
c78863d6-a962-4365-a153-7e1942d0f0b8,blogPost,erp-for-retail-stores,Your Guide to ERP for Retail Stores in India,(null),(null),published,2026-06-25,MISSING SEO — has backlink
fc2fe8e6-9359-4626-919e-ec95006b731a,blogPost,angular-vs-react,Angular vs React: Which Framework Is Better in 2024?,(null),(null),published,2026-06-25,MISSING SEO + title says 2024 (stale year)
c69b5f83-c71d-456c-9d23-60d1dc867fab,blogPost,node-js-frameworks,12 Best Node JS Frameworks & Resources for 2025,(null),(null),published,2026-06-25,MISSING SEO — ranks "node js framework" vol 880
3e40f487-87db-42d0-a113-86a22fed6393,blogPost,best-hr-software-for-startups,12 Best hr software for startups You Should Know,(null),(null),published,2026-06-25,MISSING SEO + title casing issue ("hr")
439cf1fe-7b82-4d5c-8566-3586e6d1dd72,blogPost,best-web-application-frameworks,Top 12 Best Web Application Frameworks for 2025,(null),(null),published,2026-06-25,MISSING SEO
22114651-112b-40f6-af14-a6ecdd448dfd,blogPost,odoo-erp-complete-guide,Odoo ERP Complete Guide (2025),(null),(null),published,2026-06-25,MISSING SEO — PROTECTED (key ERP asset, has backlinks)
7a6b6881-d12d-4f83-a314-c3f00f8819d2,blogPost,inventory-management-best-practices,9 Essential Inventory Management Best Practices for 2025,(null),(null),published,2026-06-25,MISSING SEO — has backlinks
b2ca9ea9-cb68-4957-b502-eb0d437deeb7,blogPost,minimum-viable-product-examples,Top 7 Minimum Viable Product Examples That Succeeded in 2025,(null),(null),published,2026-06-25,MISSING SEO — ranks "most viable product"
ef89f4cb-8421-46ff-9ba6-628fd3647e1e,blogPost,mobile-app-monetization-strategies,10 Mobile App Monetization Strategies for 2025,(null),(null),published,2026-06-25,MISSING SEO
bbc095f6-0148-4f75-8e1a-3dadbab25d1f,blogPost,database-design-best-practices,8 Essential Database Design Best Practices for 2025,8 Essential Database Design Best Practices for 2025,"Discover 8 essential database design best practices to optimize performance, security, and scalability. Learn from experts with real-world examples.",published,2026-06-25,GOOD — keep
01edc29a-94b5-4d89-b93c-c519a1addf17,blogPost,erp-implementation-cost,Understanding ERP Implementation Cost,Understanding ERP Implementation Cost,"Discover the true ERP implementation cost. Our complete guide breaks down software fees, hidden expenses, and budgeting strategies for your next project.",published,2026-06-25,OK — PROTECTED; seoTitle could add brand/year
c35f7505-422b-4c6a-aebb-557e383cc66f,blogPost,scalable-system-architecture,Building a Scalable System Architecture: Essential Guide,Building a Scalable System Architecture: Essential Guide,"Learn how to design a scalable system architecture with key principles and patterns to ensure your systems grow efficiently and reliably.",published,2026-06-25,GOOD — keep
45e3cd51-1204-4aa9-bc63-7d61683d616a,blogPost,best-seo-tools-for-small-businesses,12 Best SEO Tools for Small Businesses in 2025,12 Best SEO Tools for Small Businesses in 2025,"Discover the 12 best SEO tools for small businesses in our 2025 guide. Boost your visibility with top tools for keyword research, site audits, and more.",published,2026-06-25,GOOD — keep
# ─────────────────────────────────────────────────────────────────────────────
# BLOG CATEGORIES — duplicate documents detected (data hygiene; only 5 final slugs render pages)
# Final/public slugs: automation-ai, cloud-devops, custom-software-development, digital-platforms-ecommerce, erp-business-systems
# Duplicate doc IDs share slugs (e.g. blogCategory-automation-ai AND blogCategory.automation-ai). 26 category docs total; ~21 are legacy/orphaned.
# No SEO field changes recommended for categories; see technical-seo-issues.md for dedup guidance.
