url,route_source,page_type,title_tag,meta_description_summary,h1_source,canonical,index_status,status_code,schema_present,word_count_est,internal_links_in,internal_links_out,in_sitemap,sanity_doc_id,last_updated,notes
https://kpinfo.tech/services/ai-automation-agents/,repo:services/[slug].astro + Sanity,service,AI Agent Development & Automation for Business Operations — KP Infotech,AI agents for docs/support/reporting with guardrails,AI Automation & Agents,self,index,200,Breadcrumb+Service+FAQPage,~900,high,~8,yes,414efdd8,2026-06-25,Excellent
https://kpinfo.tech/services/cloud-devops/,repo:services/[slug].astro + Sanity,service,Cloud & DevOps Services for Scalable Business Systems — KP Infotech,Cloud infra/CI-CD/monitoring/backups/security/cost,Cloud & DevOps,self,index,200,Breadcrumb+Service+FAQPage,~900,high,~8,yes,eb52ce75,2026-06-25,Excellent
https://kpinfo.tech/industries/,repo:industries/index.astro,industry-hub,Industries — KP Infotech,"Deep domain expertise across sectors (mentions ""energy"" — not an actual industry)",Industries,self,index,200,BreadcrumbList,~200,med (nav/footer),8 (industry cards),yes,,live,Minor copy fix (energy not in list)
https://kpinfo.tech/industries/healthcare/,repo:industries/[slug].astro + Sanity,industry,Healthcare — KP Infotech,Falls back to tagline "Digital solutions for better patient outcomes",Healthcare,self,index,200,BreadcrumbList only,~500,med,~6,yes,17978c9d,2026-02-10,MISSING seoTitle/seoDescription. No Service/Industry schema.
https://kpinfo.tech/industries/retail-ecommerce/,repo:industries/[slug].astro + Sanity,industry,Retail & E-commerce — KP Infotech,Falls back to tagline,Retail & E-commerce,self,index,200,BreadcrumbList only,~500,med,~6,yes,99901f6b,2026-02-10,MISSING SEO meta
https://kpinfo.tech/industries/manufacturing/,repo:industries/[slug].astro + Sanity,industry,Manufacturing — KP Infotech,Falls back to tagline,Manufacturing,self,index,200,BreadcrumbList only,~500,med,~6,yes,49adddf8,2026-02-10,MISSING SEO meta
https://kpinfo.tech/industries/logistics/,repo:industries/[slug].astro + Sanity,industry,Logistics & Supply Chain — KP Infotech,Falls back to tagline,Logistics & Supply Chain,self,index,200,BreadcrumbList only,~500,med,~6,yes,11cb3700,2026-02-10,MISSING SEO meta
https://kpinfo.tech/industries/finance/,repo:industries/[slug].astro + Sanity,industry,Finance — KP Infotech,Falls back to tagline,Finance,self,index,200,BreadcrumbList only,~500,med,~6,yes,5807cc3f,2026-02-10,MISSING SEO meta
https://kpinfo.tech/industries/startups/,repo:industries/[slug].astro + Sanity,industry,Startups & SMEs — KP Infotech,Falls back to tagline,Startups & SMEs,self,index,200,BreadcrumbList only,~500,med,~6,yes,8df4b488,2026-02-10,MISSING SEO meta
https://kpinfo.tech/industries/real-estate/,repo:industries/[slug].astro + Sanity,industry,Real Estate — KP Infotech,Falls back to tagline,Real Estate,self,index,200,BreadcrumbList only,~500,med,~6,yes,3250b94d,2026-02-10,MISSING SEO meta
https://kpinfo.tech/industries/education/,repo:industries/[slug].astro + Sanity,industry,Education — KP Infotech,Falls back to tagline,Education,self,index,200,BreadcrumbList only,~500,med,~6,yes,d290902d,2026-02-10,MISSING SEO meta
https://kpinfo.tech/work/,repo:work/index.astro,work-hub,Our Work — KP Infotech,Portfolio of digital projects,Our Work,self,index,200,BreadcrumbList,~200,med,4+,yes,,live,OK; generic, could improve
https://kpinfo.tech/work/collaboration-platform-distributed-teams/,repo:work/[slug].astro + Sanity,case-study,Collaboration Platform Case Study — KP Infotech,Real-time collaboration platform results,Real-Time Collaboration Platform...,self,index,200,Breadcrumb+CreativeWork,~700,low,~4,yes,347935a0,2026-04-13,Good
https://kpinfo.tech/work/digital-banking-platform/,repo:work/[slug].astro + Sanity,case-study,Digital Banking Platform Case Study — KP Infotech,Digital banking platform results,Modern Digital Banking Platform...,self,index,200,Breadcrumb+CreativeWork,~700,low,~4,yes,a2255729,2026-04-13,Good
https://kpinfo.tech/work/omnichannel-ecommerce-platform/,repo:work/[slug].astro + Sanity,case-study,Omnichannel E-Commerce Platform Case Study — KP Infotech,AI omnichannel e-commerce results,Omnichannel E-Commerce Platform...,self,index,200,Breadcrumb+CreativeWork,~700,low,~4,yes,3a61f3da,2026-04-13,Good
https://kpinfo.tech/work/virtual-tours-ai-listings/,repo:work/[slug].astro + Sanity,case-study,Virtual Tour Platform Case Study — KP Infotech,3D virtual tour platform results (thin meta),3D Virtual Tours...,self,index,200,Breadcrumb+CreativeWork,~700,low,~4,yes,e907e1d9,2026-04-13,seoDescription thin (53 chars)
https://kpinfo.tech/insights/,repo:insights/[...page].astro,blog-index,Insights — KP Infotech,Blog index,Insights,self,index,200,BreadcrumbList,~150,high (nav/footer),15+,yes,,live,Paginated (/2/ /3/)
https://kpinfo.tech/insights/2/,repo:insights/[...page].astro,blog-index-page,Insights — KP Infotech (pg2),Blog index page 2,Insights,self,index,200,BreadcrumbList,~150,low,15+,yes,,live,Pagination — ensure rel context fine
https://kpinfo.tech/insights/3/,repo:insights/[...page].astro,blog-index-page,Insights — KP Infotech (pg3),Blog index page 3,Insights,self,index,200,BreadcrumbList,~150,low,15+,yes,,live,Pagination
https://kpinfo.tech/insights/category/automation-ai/,repo:insights/category/[slug].astro,blog-category,Automation & AI Articles — KP Infotech,Category description,Automation & AI,self,index,200,BreadcrumbList,~120,low,0-,yes,blogCategory(dupe),live,EMPTY category (no posts reference automation-ai). Thin/orphan risk.
https://kpinfo.tech/insights/category/cloud-devops/,repo:insights/category/[slug].astro,blog-category,Cloud & DevOps Articles — KP Infotech,Category description,Cloud & DevOps,self,index,200,BreadcrumbList,~150,low,1+,yes,blogCategory,live,1 post
https://kpinfo.tech/insights/category/custom-software-development/,repo:insights/category/[slug].astro,blog-category,Custom Software & Development Articles — KP Infotech,Category description,Custom Software & Development,self,index,200,BreadcrumbList,~200,low,6+,yes,blogCategory,live,6 posts
https://kpinfo.tech/insights/category/digital-platforms-ecommerce/,repo:insights/category/[slug].astro,blog-category,Digital Platforms & E-commerce Articles — KP Infotech,Category description,Digital Platforms & E-commerce,self,index,200,BreadcrumbList,~150,low,1+,yes,blogCategory,live,1 post
https://kpinfo.tech/insights/category/erp-business-systems/,repo:insights/category/[slug].astro,blog-category,ERP & Business Systems Articles — KP Infotech,Category description,ERP & Business Systems,self,index,200,BreadcrumbList,~200,low,4+,yes,blogCategory,live,4 posts
https://kpinfo.tech/insights/odoo-erp-complete-guide/,repo:insights/[slug].astro + Sanity,blog-post,Odoo ERP Complete Guide (2025)... — KP Infotech,Falls back to excerpt,Odoo ERP Complete Guide (2025)...,self,index,200,Breadcrumb+BlogPosting,~2000,med,~5,yes,22114651,2026-06-25,PROTECTED. MISSING seoTitle/seoDescription
https://kpinfo.tech/insights/erp-implementation-cost/,repo:insights/[slug].astro + Sanity,blog-post,Understanding ERP Implementation Cost — KP Infotech,Has good seoDescription,Understanding ERP Implementation Cost,self,index,200,Breadcrumb+BlogPosting,~1800,med,~5,yes,01edc29a,2026-06-25,PROTECTED. OK
https://kpinfo.tech/insights/cloud-deployment-models-diagram/,repo:insights/[slug].astro + Sanity,blog-post,Cloud Deployment Models Diagram Explained — KP Infotech,Falls back to excerpt,Cloud Deployment Models Diagram Explained,self,index,200,Breadcrumb+BlogPosting,~1500,med,~5,yes,3011f67f,2026-06-25,PROTECTED. MISSING SEO meta. Ranks vol 880/720
https://kpinfo.tech/insights/node-js-frameworks/,repo:insights/[slug].astro + Sanity,blog-post,12 Best Node JS Frameworks & Resources for 2025 — KP Infotech,Falls back to excerpt,12 Best Node JS Frameworks...,self,index,200,Breadcrumb+BlogPosting,~2000,med,~5,yes,c69b5f83,2026-06-25,MISSING SEO meta. Ranks "node js framework" vol 880
https://kpinfo.tech/insights/database-design-best-practices/,repo:insights/[slug].astro + Sanity,blog-post,8 Essential Database Design Best Practices for 2025 — KP Infotech,Good seoDescription,8 Essential Database Design...,self,index,200,Breadcrumb+BlogPosting,~1800,med,~5,yes,bbc095f6,2026-06-25,Good
https://kpinfo.tech/insights/scalable-system-architecture/,repo:insights/[slug].astro + Sanity,blog-post,Building a Scalable System Architecture — KP Infotech,Good seoDescription,Building a Scalable System Architecture,self,index,200,Breadcrumb+BlogPosting,~1700,med,~5,yes,c35f7505,2026-06-25,Good
https://kpinfo.tech/insights/best-seo-tools-for-small-businesses/,repo:insights/[slug].astro + Sanity,blog-post,12 Best SEO Tools for Small Businesses in 2025 — KP Infotech,Good seoDescription,12 Best SEO Tools...,self,index,200,Breadcrumb+BlogPosting,~1800,med,~5,yes,45e3cd51,2026-06-25,Good
https://kpinfo.tech/insights/erp-for-retail-stores/,repo:insights/[slug].astro + Sanity,blog-post,Your Guide to ERP for Retail Stores in India — KP Infotech,Falls back to excerpt,Your Guide to ERP for Retail Stores...,self,index,200,Breadcrumb+BlogPosting,~1500,med,~5,yes,c78863d6,2026-06-25,MISSING SEO meta. Has backlink
https://kpinfo.tech/insights/inventory-management-best-practices/,repo:insights/[slug].astro + Sanity,blog-post,9 Essential Inventory Management Best Practices for 2025 — KP Infotech,Falls back to excerpt,9 Essential Inventory Management...,self,index,200,Breadcrumb+BlogPosting,~1700,med,~5,yes,7a6b6881,2026-06-25,MISSING SEO meta. Has backlinks
https://kpinfo.tech/insights/angular-vs-react/,repo:insights/[slug].astro + Sanity,blog-post,Angular vs React: Which Framework Is Better in 2024? — KP Infotech,Falls back to excerpt,Angular vs React...2024,self,index,200,Breadcrumb+BlogPosting,~1600,med,~5,yes,fc2fe8e6,2026-06-25,MISSING SEO meta + stale year (2024)
https://kpinfo.tech/insights/best-web-application-frameworks/,repo:insights/[slug].astro + Sanity,blog-post,Top 12 Best Web Application Frameworks for 2025 — KP Infotech,Falls back to excerpt,Top 12 Best Web Application Frameworks,self,index,200,Breadcrumb+BlogPosting,~1700,med,~5,yes,439cf1fe,2026-06-25,MISSING SEO meta
https://kpinfo.tech/insights/best-hr-software-for-startups/,repo:insights/[slug].astro + Sanity,blog-post,12 Best hr software for startups You Should Know — KP Infotech,Falls back to excerpt,12 Best hr software for startups,self,index,200,Breadcrumb+BlogPosting,~1500,med,~5,yes,3e40f487,2026-06-25,MISSING SEO meta + title casing ("hr")
https://kpinfo.tech/insights/minimum-viable-product-examples/,repo:insights/[slug].astro + Sanity,blog-post,Top 7 Minimum Viable Product Examples That Succeeded in 2025 — KP Infotech,Falls back to excerpt,Top 7 Minimum Viable Product Examples,self,index,200,Breadcrumb+BlogPosting,~1500,med,~5,yes,b2ca9ea9,2026-06-25,MISSING SEO meta
https://kpinfo.tech/insights/mobile-app-monetization-strategies/,repo:insights/[slug].astro + Sanity,blog-post,10 Mobile App Monetization Strategies for 2025 — KP Infotech,Falls back to excerpt,10 Mobile App Monetization Strategies,self,index,200,Breadcrumb+BlogPosting,~1600,med,~5,yes,ef89f4cb,2026-06-25,MISSING SEO meta
https://kpinfo.tech/insights/kp-infotech-new-website-custom-software-automation-ai/,repo:insights/[slug].astro + Sanity,blog-post,KP Infotech's Next Chapter... — KP Infotech,Good seoDescription,The Next Chapter of KP Infotech,self,index,200,Breadcrumb+BlogPosting,~1200,med,~6,yes,15c6587c,2026-06-25,Good (launch post)
https://kpinfo.tech/about/,repo:about.astro,about,About — KP Infotech,"OFF-BRAND: ""premium digital product studio... exceptional digital experiences""",About KP Infotech,self,index,200,BreadcrumbList,~600,high (nav/footer),~6,yes,,live,FIX meta + body positioning to B2B ops
https://kpinfo.tech/contact/,repo:contact.astro,contact,Contact — KP Infotech,On-brand B2B description,Contact,self,index,200,Breadcrumb+ContactPage,~300,high,~4,yes,,live,Good. Ranks "kp technical" #14
https://kpinfo.tech/careers/,repo:careers/index.astro,careers,Careers — KP Infotech,On-brand B2B description,Careers,self,index,200,BreadcrumbList,~250,med,~3,yes,,live,Good
https://kpinfo.tech/privacy-policy/,repo:privacy-policy/index.astro,legal,Privacy Policy — KP Infotech,Privacy policy,Privacy Policy,self,index,200,BreadcrumbList,~800,low,~2,yes,,live,OK
https://kpinfo.tech/terms-of-service/,repo:terms-of-service/index.astro,legal,Terms of Service — KP Infotech,Terms of service,Terms of Service,self,index,200,BreadcrumbList,~800,low,~2,yes,,live,OK
https://kpinfo.tech/404,repo:404.astro,error,Page Not Found — KP Infotech,404 page,404,n/a,404,index(soft n/a),—,—,low,~3,no,,live,Returns true 404 status. Good.
# ─────────────────────────────────────────────────────────────────────────────
# NOT IN SITEMAP / NON-INDEXABLE (reference): /studio (Sanity), API routes /api/contact /api/careers/apply
# 42 legacy WordPress URLs currently 404 with ranking/backlink value — see redirect-risk-check.md (NOT listed here as live pages)
